50,inhale,unknown,[[ 0.00490999  0.40023237  0.59485763]]
51,inhale,exhale,[[  5.89527226e-05   9.95150447e-01   4.79057897e-03]]
121,inhale,unknown,[[  4.15658027e-01   9.50512822e-06   5.84332466e-01]]
152,inhale,unknown,[[  2.71667361e-01   6.03332919e-05   7.28272259e-01]]
54,unknown,inhale,[[  7.62694180e-01   2.46884621e-04   2.37058997e-01]]
98,unknown,inhale,[[  5.23044050e-01   1.82360702e-04   4.76773560e-01]]
233,unknown,exhale,[[  3.25531778e-06   9.72622991e-01   2.73737013e-02]]
323,unknown,exhale,[[  1.41063756e-05   5.92029452e-01   4.07956421e-01]]
324,unknown,exhale,[[  3.54589429e-05   5.49473464e-01   4.50491071e-01]]
339,unknown,exhale,[[  1.80683910e-05   8.93614352e-01   1.06367514e-01]]
29,exhale,unknown,[[  6.24383538e-05   3.73375505e-01   6.26562059e-01]]
143,exhale,unknown,[[ 0.00056439  0.49054924  0.50888634]]
161,exhale,unknown,[[  2.20832939e-04   6.62959814e-02   9.33483243e-01]]
